Rank,Username,Submitted,Model Report Link,MA-MCC,MA-MCC std,MA-Accuracy,MA-Accuracy std,MA-Precision,MA-Precision std,MA-Recall,MA-Recall std,MA-F1 Score,MA-F1 Score std,Proprietary Data,Open Code
89,Goodnight,2026-09-23 17:36 UTC,Not submitted,0.2720374706914709,0.0454795155871523,0.7746188524590164,0.0168785912868848,0.3484476291376558,0.0351690928111378,0.5039310491160238,0.0543567176013339,0.4007847006329683,0.038062071256004,No,No
90,wbot,2026-08-22 19:48 UTC,Not submitted,0.270986565600867,0.0432711946103075,0.8235887978142076,0.0141319389626433,0.3735780994754222,0.0419684660126314,0.400176991306197,0.0425111746130067,0.3847199634787968,0.0381768563793405,No,No
91,cyp450_reg,2026-09-23 03:09 UTC,Not submitted,0.2699781385269488,0.0486916614868185,0.8263825136612022,0.0128313874371308,0.4173532652511645,0.063404650978746,0.3618014498908676,0.0410501608380534,0.3774227932708823,0.0439171864065844,No,No
92,CoSy,2026-09-06 06:59 UTC,Not submitted,0.2684516473546355,0.0526103627657741,0.7913428961748634,0.0147445019970136,0.3660519543674101,0.0579123216431417,0.4708579861099605,0.0459861700187623,0.3972204568381376,0.0473113722987961,No,No
93,drp-to-admet,2026-08-21 18:59 UTC,Not submitted,0.266667907631158,0.0457400583866106,0.788301912568306,0.0146173662677719,0.3559965121982508,0.0479262609068953,0.4769103028043819,0.0449498374308824,0.4012959723427763,0.0418769611982783,No,No
94,sleepq3,2026-09-17 06:04 UTC,Not submitted,0.2655123914420511,0.0378080710928847,0.6936448087431694,0.0174195642253518,0.291383003943371,0.0257362628545275,0.6741540513586922,0.053503166881507,0.3977674619089691,0.0306150674737387,No,No
95,caithmac,2026-08-24 06:09 UTC,Not submitted,0.2651612246716422,0.0371840177041679,0.7031120218579235,0.0167251394218699,0.2943793801434052,0.0256796094743725,0.6651671128506083,0.0514343896227704,0.4015327929160963,0.0306595092775797,No,No
96,Lin,2026-09-18 18:04 UTC,Not submitted,0.2614615408022517,0.0427793484639217,0.763256830601093,0.0161536539774185,0.3480740402567863,0.0313654472656768,0.4948503919144058,0.056912804188106,0.3875313533746853,0.0344542445430444,No,No
97,autumnZ,2026-09-06 14:27 UTC,Not submitted,0.2587711837756836,0.0365668155625579,0.6905150273224044,0.0185452736978201,0.2901739602254176,0.0251858362181943,0.665641809542253,0.0502957629883806,0.3938100535616409,0.0295417237941442,No,No
98,cyp450_TDI,2026-09-23 05:31 UTC,Not submitted,0.2531536661239018,0.0514582978478637,0.826266393442623,0.0131015876279151,0.4201151936180807,0.0767159636853963,0.3337745571258192,0.0389731797641567,0.3548856646375423,0.0452957260472764,No,No
99,CompChem Magicano,2026-09-22 04:00 UTC,Not submitted,0.2510154743656625,0.0362408393624983,0.6301366120218579,0.0179140169033393,0.3062871761556344,0.0238392734895895,0.6850831951495865,0.0535306563705905,0.38297190553462,0.0267102112610179,No,No
100,HemeCompass2026,2026-09-04 05:08 UTC,Not submitted,0.2424736772194821,0.0422564135569541,0.735870218579235,0.0168212043953041,0.3036067890949831,0.0307536253010499,0.5566570934728908,0.0532871672344886,0.3875768425600625,0.0352771226765826,No,No
